rank,ticker,sector,off_high_pct_12w,off_low_pct_12w,high_decile_12w,off_high_pct_26w,off_low_pct_26w,high_decile_26w,off_high_pct_4w,off_low_pct_4w,high_decile_4w,off_high_pct_52w,off_low_pct_52w,high_decile_52w,composite_score
1,XLB,Basic Materials,-0.33507129762762045,8.008878848384683,10,-0.39069597111192067,14.573082473788347,10,-0.33507129762762045,6.6321487587608585,10,-1.108235095835286,27.370051409250905,10,10.0
2,XLP,Consumer Defensive,-3.1426007590551586,5.5350936684174235,10,-4.603951135987572,6.872978923963302,10,-3.1426007590551586,2.5399442379148374,10,-4.603951135987572,14.409251828070246,10,10.0
3,XLRE,Real Estate,-2.959853505119925,4.654674480796017,10,-2.959853505119925,12.869312421329028,10,-2.959853505119925,2.431273688547164,10,-2.959853505119925,13.480185179672489,10,10.0
4,XLV,Health Care,-1.1211839852188432,20.170668261676216,10,-1.1211839852188432,22.99781194319177,10,-1.1211839852188432,8.641821538522287,10,-1.1211839852188432,30.576535329409225,10,10.0
5,XLF,Financials,-1.59219364424803,13.776720153222154,10,-1.59219364424803,20.57898416216377,10,-1.59219364424803,2.313989373440384,10,-1.59219364424803,20.57898416216377,10,10.0
6,XLE,Energy,-1.6383270611924683,20.942608668671348,10,-1.6383270611924683,20.942608668671348,10,-1.6383270611924683,11.43407233323208,10,-1.6383270611924683,50.27155060828885,10,10.0
7,IWM,Russell 2000,-1.7104663955637367,8.046969501768263,10,-1.7104663955637367,25.669273277883708,10,-1.7104663955637367,4.214295052182493,10,-1.7104663955637367,34.04235994786728,10,10.0
8,LLY,Pharma,-2.8816771203702074,19.31758734817204,10,-2.8816771203702074,47.60555549017149,10,-2.8816771203702074,13.185772598910628,9,-2.8816771203702074,80.83344997091679,10,9.9
9,TLT,Long-Term Treasuries,-6.538327604407512,1.0841504283157333,9,-9.696233215290162,1.0841504283157333,9,-2.7151925368343988,1.0841504283157333,10,-10.999022801949899,1.0841504283157333,9,9.1
10,JPM,Financials,-4.0709450007460735,19.09890651552333,9,-4.0709450007460735,25.96917910559553,9,-4.0709450007460735,2.268889353849901,9,-4.0709450007460735,25.96917910559553,9,9.0
11,DIA,DJ Industrial Average,-2.6575270776177384,6.422708299859692,9,-2.6575270776177384,18.155574065018087,9,-2.6575270776177384,3.379814912272483,9,-2.6575270776177384,19.36394654947684,9,9.0
12,SPY,S&P 500,-1.7514177476142145,6.857566837105944,9,-1.7514177476142145,21.68191187613262,9,-1.7514177476142145,5.022630138995421,9,-1.7514177476142145,21.68191187613262,9,9.0
13,XBI,Biotech,-2.3279096645116626,30.37286984482477,9,-2.3279096645116626,40.223362639916346,9,-2.3279096645116626,15.266377197523529,8,-2.3279096645116626,87.83859166034486,9,8.9
14,XLY,Consumer Cyclical,-3.412722575514704,8.985128493192128,9,-3.412722575514704,12.196971103605424,9,-2.0093040097015735,6.999087377799995,9,-5.591556974414457,12.196971103605424,8,8.6
15,PLTR,Software,-1.3703135093976582,69.16423596424907,9,-1.3703135093976582,69.16423596424907,10,-1.3703135093976582,52.633814041062955,9,-13.290285882436592,69.16423596424907,7,8.5
16,XLU,Utilities,-8.277933780685586,0.046784696523216596,8,-10.523010166487602,0.046784696523216596,8,-7.882833993873806,0.046784696523216596,8,-10.523010166487602,3.9368137832655137,8,8.0
17,XLI,Industrials,-4.219141473191912,6.373563438337881,8,-4.219141473191912,15.485647030621896,8,-4.219141473191912,2.4380501946154487,8,-4.219141473191912,22.502379195117015,8,8.0
18,QQQ,Benchmark,-4.7031350864128685,7.910576675771064,6,-4.7031350864128685,28.408933367754408,7,-2.8778368804786014,7.910576675771064,8,-4.7031350864128685,28.408933367754408,7,6.9
19,XLC,Communication Services,-4.655935452342663,6.064936513964492,8,-6.762639440941887,6.064936513964492,6,-1.8502189199304797,5.59942889286591,10,-7.478923088504141,6.064936513964492,5,6.4
20,IBIT,Bitcoin,-1.0084978919529086,33.008526498845534,10,-6.185569121927337,33.008526498845534,8,-1.0084978919529086,23.774438005063626,9,-39.18128586636067,33.008526498845534,2,6.1
21,XLK,Technology,-7.759270618657032,10.122546056177018,5,-7.759270618657032,44.70318686216819,6,-4.401565810381358,10.122546056177018,7,-7.759270618657032,44.70318686216819,6,5.9
22,MSFT,Software,-5.935022559235215,38.38487209097663,8,-5.935022559235215,38.38487209097663,8,-5.935022559235215,24.549602411768888,7,-12.728451960880705,38.38487209097663,3,5.9
23,STX,Storage,-25.764192139737997,21.60403036887417,4,-25.764192139737997,148.53801169590645,5,-16.17274251360905,21.60403036887417,7,-25.764192139737997,455.4466488795365,6,5.4
24,NVDA,Semiconductors,-7.559840559185882,13.129608940074533,5,-9.224652356794028,30.71163063012099,5,-5.791504499073275,13.004582615772975,5,-9.224652356794028,30.87096460987835,5,5.0
25,SPCX,ETF,-39.29710973621514,30.65916133574591,4,-39.29710973621514,30.65916133574591,4,-8.564754051855228,30.65916133574591,8,-39.29710973621514,30.65916133574591,4,4.4
26,AMD,Semiconductors,-19.065206880512918,11.607669589981452,3,-19.065206880512918,151.43448992175715,4,-10.729444543586265,11.607669589981452,4,-19.065206880512918,217.14917311925353,5,4.2
27,AAPL,Consumer Electronics,-10.22143554925351,13.004568439640419,4,-10.22143554925351,26.003019439154507,4,-10.22143554925351,3.1166687011718652,2,-10.22143554925351,38.238451957724884,5,4.2
